名称,区域,地址,风格,主打酒种,酒价格区间(元),人均(元),评分,口碑摘要,近期活动,营业时间,适合场景
Vertigo,古北,古北路1555号,现代酒吧,鸡尾酒,78-138,190,4.5,设计现代氛围好,周五DJ,18:00-02:00,约会
Silver Cave,徐家汇,衡山路890弄,地下酒吧,创意鸡尾酒,88-158,220,4.6,创意酒单隐藏入口,每月主题夜,19:00-02:00,约会/打卡
Pistachio,徐家汇,天钥桥路333号,意大利餐吧,葡萄酒/餐食,68-138,200,4.5,意大利小食配酒,周末早午餐,11:00-23:00,朋友聚会
Feast,徐家汇,漕溪北路88号,餐酒吧,鸡尾酒/餐食,78-148,210,4.5,融合餐食出品稳定,周三鸡尾酒特调,11:00-23:00,约会/聚餐
Golden Monkey,徐家汇,虹桥路777号,酒店酒吧,鸡尾酒/威士忌,88-168,230,4.6,空中酒吧视野开阔,周四女士之夜,17:00-01:00,商务/夜景
Craft Republic,五角场,淞沪路77号,精酿酒吧,精酿啤酒,38-68,90,4.4,大学城性价比之王,周一周三精酿特价,15:00-00:00,学生/精酿
Lucky Cat,五角场,政民路508号,社区酒吧,鸡尾酒/啤酒,42-78,100,4.4,学生聚集氛围轻松,周二啤酒买一送一,16:00-00:00,学生聚会
Star Bar,五角场,国定东路300号,威士忌吧,威士忌,58-108,150,4.4,威士忌入门友好,周四威士忌品鉴,17:00-01:00,威士忌爱好者
Riverside,滨江,滨江大道3000号,江景酒吧,鸡尾酒/葡萄酒,98-188,280,4.7,一线江景视野震撼,周五日落派对,17:00-01:00,约会/江景
Pier 56,滨江,滨江大道56号,露台酒吧,鸡尾酒,88-168,250,4.6,露台江景适合夏天,周六日落DJ,16:00-01:00,约会/露台
Sakura Sky,滨江,东昌路500号,空中酒吧,鸡尾酒,128-228,350,4.7,高层夜景陆家嘴全景,周三高空品鉴,18:00-02:00,商务/夜景
Garden Brew,中山公园,长宁路1018号,精酿花园,精酿啤酒,48-88,120,4.4,花园露台环境轻松,周五啤酒节,15:00-23:00,朋友聚会/户外
Koi Pond,中山公园,愚园路1398号,日式酒吧,清酒/鸡尾酒,68-128,170,4.5,日式庭院风格安静,周二清酒之夜,17:00-00:00,安静小酌
Meadow,中山公园,定西路998号,葡萄酒吧,葡萄酒,58-108,150,4.4,社区葡萄酒吧性价比高,周一杯卖特价,16:00-00:00,下班/葡萄酒
The Old Tree,大宁,共和新路1988号,威士忌吧,威士忌,68-128,170,4.4,大宁区域品质威士忌,周四品鉴会,17:00-01:00,威士忌爱好者
Brick Lane,大宁,平型关路68号,精酿酒吧,精酿啤酒,42-78,100,4.4,英式精酿风格,周三精酿特价,15:00-00:00,精酿爱好者
Lotus Lounge,大宁,灵石路688号,酒店酒吧,鸡尾酒,78-148,200,4.4,酒店大堂吧安静,周五live音乐,17:00-01:00,商务/安静
Bamboo Grove,滨江,杨树浦路1988号,庭院酒吧,鸡尾酒/葡萄酒,88-168,230,4.6,庭院设计感强绿植环绕,周日花园早午餐,11:00-23:00,约会/打卡
Moonlight,外滩,圆明园路185号,复古酒吧,鸡尾酒,98-178,260,4.6,复古装修外滩夜色,周六复古爵士夜,18:00-02:00,约会/复古
